160,218
144,42
48,452
155,154
45,16
160,203
129,195
109,447
154,141
54,236
109,283
6,376
138,426
176,337
53,249
116,78
50,472
15,198
26,157
48,45
174,420
144,445
157,232
87,125
75,195
156,128
124,166
53,269
155,420
156,181
81,71
102,233
152,194
60,100
48,298
29,244
50,15
160,68
79,428
86,31
168,284
81,45
84,188
83,144
139,364
84,165
128,129
140,356
143,462
100,47
64,300
21,136
108,458
23,167
40,57
176,353
77,448
45,176
83,36
134,89
53,38
171,391
68,325
143,37
139,443
79,163
176,60
129,90
67,172
99,241
65,100
156,169
120,155
130,114
57,94
107,112
48,120
146,319
168,242
91,178
139,48
125,182
135,359
95,46
138,70
109,138
42,223
83,104
167,254
157,107
156,266
71,278
113,222
141,312
74,73
112,358
158,163
125,124
174,55
85,82
48,165
160,139
9,177
53,263
139,343
104,145
119,48
175,311
155,112
114,83
88,253
101,103
121,191
113,456
126,390
102,301
