85,199
119,79
103,72
156,448
140,150
72,101
174,160
171,146
133,206
60,472
117,64
76,252
173,121
85,424
190,202
140,461
105,286
157,24
136,83
40,129
98,450
103,183
124,222
101,256
39,238
88,278
141,162
95,167
184,192
80,177
143,175
104,274
91,457
23,399
175,185
62,239
143,316
84,101
122,196
158,86
143,423
155,269
184,424
125,272
152,221
102,127
62,456
45,245
154,205
145,180
61,178
46,130
77,161
144,43
169,136
163,240
51,232
52,184
175,172
151,191
141,136
130,349
139,469
171,366
84,367
100,166
102,422
96,148
160,108
120,233
95,342
124,186
122,118
173,131
97,128
117,129
164,325
69,117
13,395
156,333
71,253
61,162
173,54
184,417
122,130
88,79
160,257
94,192
148,113
153,299
160,456
28,42
130,197
75,229
115,459
61,247
127,231
163,60
171,113
87,152
152,231
12,402
156,192
54,66
59,79
117,148
168,222
115,55
160,213
126,61
66,254
24,93
100,445
103,281
46,324
116,36
140,122
139,18
108,25
168,451
21,193
174,136
56,166
55,471
85,446
97,424
