162,133
108,168
40,446
56,66
165,287
128,110
151,328
48,349
182,407
136,289
101,463
149,319
163,348
6,139
183,191
155,367
40,349
107,153
118,326
120,320
121,83
120,174
174,175
15,388
75,113
120,269
184,417
132,94
14,328
160,392
175,229
116,110
69,175
10,293
53,175
93,196
85,141
15,437
131,176
99,115
115,386
65,260
24,79
140,306
108,234
176,421
120,474
45,391
160,297
98,412
172,263
119,336
103,4
156,233
170,232
152,333
88,245
120,373
108,318
136,159
36,452
60,125
133,431
28,160
127,24
15,375
101,279
15,431
88,53
54,377
80,420
120,51
51,450
109,397
191,374
56,456
40,197
56,13
83,245
51,281
66,165
133,411
115,474
49,439
80,390
99,91
143,239
147,171
103,238
80,75
170,363
175,305
8,257
168,133
111,95
108,286
142,149
43,144
81,169
118,356
49,231
168,351
124,298
136,64
139,92
32,167
165,268
36,38
21,191
35,351
60,345
174,197
157,312
175,375
162,318
25,183
59,379
4,333
80,112
195,364
