36,184
52,55
106,365
56,98
31,249
64,128
97,187
18,315
50,441
127,72
125,113
51,354
37,307
132,155
77,148
80,25
47,332
111,187
92,409
116,111
108,424
47,367
180,139
57,60
148,247
155,116
50,146
182,158
165,440
122,198
112,470
50,275
133,176
9,410
52,368
117,250
40,147
91,164
168,143
33,157
112,397
45,158
28,306
152,192
145,184
128,97
43,102
78,79
108,434
134,338
120,432
71,52
154,370
20,16
24,108
20,198
21,184
88,354
168,131
34,224
141,294
131,318
49,466
116,257
141,142
49,416
123,187
27,365
27,224
87,156
167,379
51,10
122,35
84,75
54,92
66,275
56,410
143,90
84,34
140,261
92,230
96,350
8,171
100,46
64,253
107,472
90,349
44,263
87,403
53,461
112,181
9,423
18,391
75,260
172,88
137,98
100,338
6,313
66,59
13,344
8,196
63,49
29,108
96,241
97,23
96,177
162,130
168,416
156,238
171,152
111,385
148,169
51,291
156,156
92,40
144,299
164,224
177,89
181,410
38,103
142,102
79,255
112,20
39,264
151,445
115,61
154,430
172,94
120,67
37,285
107,391
85,24
54,416
22,365
70,347
63,138
190,469
156,303
91,424
132,430
136,253
84,448
135,185
91,242
93,355
7,299
64,217
